Order Date,Brand,Sneaker Name,Sale Price,Retail Price,Release Date,Shoe Size,Buyer Region,Gain/Loss
9/14/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2110,190,9/9/17,9.5,Florida,1920
9/14/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2050,190,9/9/17,11.0,Florida,1860
9/14/17,Off-White,Nike-Air-Max-90-Off-White,870,160,9/9/17,10.5,Texas,710
9/14/17,Off-White,Nike-Air-Presto-Off-White,1210,160,9/9/17,10.0,Massachusetts,1050
9/14/17,Off-White,Nike-Air-VaporMax-Off-White,999,250,9/9/17,10.5,Maryland,749
9/14/17,Off-White,Nike-Blazer-Mid-Off-White,620,130,9/9/17,8.0,New Jersey,490
9/14/17,Off-White,Nike-Blazer-Mid-Off-White,625,130,9/9/17,10.0,New York,495
9/14/17,Off-White,Nike-Blazer-Mid-Off-White,664,130,9/9/17,8.5,Connecticut,534
9/15/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2100,190,9/9/17,9.5,Ohio,1910
9/15/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1815,190,9/9/17,11.0,California,1625
9/15/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2100,190,9/9/17,9.5,California,1910
9/15/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1999,190,9/9/17,13.0,California,1809
9/15/17,Off-White,Nike-Air-Max-90-Off-White,820,160,9/9/17,12.0,New York,660
9/15/17,Off-White,Nike-Air-Presto-Off-White,1250,160,9/9/17,9.0,Massachusetts,1090
9/15/17,Off-White,Nike-Air-Presto-Off-White,1110,160,9/9/17,12.0,Alabama,950
9/15/17,Off-White,Nike-Air-VaporMax-Off-White,1000,250,9/9/17,11.5,New York,750
9/15/17,Off-White,Nike-Blazer-Mid-Off-White,675,130,9/9/17,10.0,California,545
9/16/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1900,190,9/9/17,9.0,Pennsylvania,1710
9/16/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1850,190,9/9/17,13.0,New York,1660
9/16/17,Off-White,Nike-Air-Max-90-Off-White,900,160,9/9/17,9.0,California,740
9/16/17,Off-White,Nike-Air-Presto-Off-White,1100,160,9/9/17,9.0,Nevada,940
9/16/17,Off-White,Nike-Air-Presto-Off-White,1250,160,9/9/17,9.0,Ohio,1090
9/16/17,Off-White,Nike-Air-VaporMax-Off-White,1000,250,9/9/17,12.0,Illinois,750
9/16/17,Off-White,Nike-Air-VaporMax-Off-White,1050,250,9/9/17,10.5,California,800
9/17/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1910,190,9/9/17,10.0,Georgia,1720
9/17/17,Off-White,Nike-Air-Presto-Off-White,1200,160,9/9/17,11.0,Colorado,1040
9/17/17,Off-White,Nike-Air-Presto-Off-White,1200,160,9/9/17,11.0,Tennessee,1040
9/17/17,Off-White,Nike-Air-Presto-Off-White,1275,160,9/9/17,9.0,California,1115
9/17/17,Off-White,Nike-Air-VaporMax-Off-White,1080,250,9/9/17,8.0,New York,830
9/17/17,Off-White,Nike-Air-VaporMax-Off-White,1007,250,9/9/17,9.5,California,757
9/17/17,Off-White,Nike-Blazer-Mid-Off-White,720,130,9/9/17,9.0,California,590
9/18/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1800,190,9/9/17,9.5,California,1610
9/18/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1725,190,9/9/17,13.0,California,1535
9/18/17,Off-White,Nike-Air-Max-90-Off-White,900,160,9/9/17,7.0,New York,740
9/18/17,Off-White,Nike-Air-Presto-Off-White,1250,160,9/9/17,9.0,New Jersey,1090
9/18/17,Off-White,Nike-Air-Presto-Off-White,1065,160,9/9/17,12.0,Arkansas,905
9/18/17,Off-White,Nike-Air-VaporMax-Off-White,1090,250,9/9/17,8.5,Arizona,840
9/18/17,Off-White,Nike-Air-VaporMax-Off-White,955,250,9/9/17,10.0,California,705
9/18/17,Off-White,Nike-Blazer-Mid-Off-White,690,130,9/9/17,10.5,New York,560
9/19/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1772,190,9/9/17,9.5,California,1582
9/19/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2000,190,9/9/17,8.0,Arizona,1810
9/19/17,Off-White,Nike-Air-Max-90-Off-White,948,160,9/9/17,9.0,California,788
9/19/17,Off-White,Nike-Air-Presto-Off-White,1350,160,9/9/17,7.0,New York,1190
9/19/17,Off-White,Nike-Air-Presto-Off-White,1060,160,9/9/17,12.0,California,900
9/19/17,Off-White,Nike-Air-VaporMax-Off-White,929,250,9/9/17,12.0,Washington,679
9/19/17,Off-White,Nike-Air-VaporMax-Off-White,885,250,9/9/17,10.0,California,635
9/19/17,Off-White,Nike-Blazer-Mid-Off-White,715,130,9/9/17,10.0,California,585
9/19/17,Off-White,Nike-Blazer-Mid-Off-White,690,130,9/9/17,10.5,Connecticut,560
9/20/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1950,190,9/9/17,10.5,Texas,1760
9/20/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1770,190,9/9/17,13.0,California,1580
9/20/17,Off-White,Nike-Air-Max-90-Off-White,760,160,9/9/17,12.0,California,600
9/20/17,Off-White,Nike-Air-Max-90-Off-White,820,160,9/9/17,10.0,California,660
9/20/17,Off-White,Nike-Air-Presto-Off-White,1195,160,9/9/17,13.0,Virginia,1035
9/20/17,Off-White,Nike-Air-VaporMax-Off-White,940,250,9/9/17,11.0,California,690
9/20/17,Off-White,Nike-Air-VaporMax-Off-White,970,250,9/9/17,11.0,Ohio,720
9/20/17,Off-White,Nike-Air-VaporMax-Off-White,1350,250,9/9/17,9.5,Alaska,1100
9/20/17,Off-White,Nike-Air-VaporMax-Off-White,1050,250,9/9/17,12.0,Colorado,800
9/20/17,Off-White,Nike-Blazer-Mid-Off-White,660,130,9/9/17,11.0,California,530
9/20/17,Off-White,Nike-Blazer-Mid-Off-White,725,130,9/9/17,13.0,New York,595
9/21/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1850,190,9/9/17,12.0,Oregon,1660
9/21/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1900,190,9/9/17,11.0,Virginia,1710
9/21/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1950,190,9/9/17,9.5,California,1760
9/21/17,Off-White,Nike-Air-Max-90-Off-White,800,160,9/9/17,9.0,California,640
9/21/17,Off-White,Nike-Air-Presto-Off-White,1265,160,9/9/17,9.0,New York,1105
9/21/17,Off-White,Nike-Air-Presto-Off-White,1350,160,9/9/17,7.0,New York,1190
9/21/17,Off-White,Nike-Air-VaporMax-Off-White,1050,250,9/9/17,11.0,Maryland,800
9/21/17,Off-White,Nike-Blazer-Mid-Off-White,580,130,9/9/17,7.5,Ohio,450
9/22/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1800,190,9/9/17,7.5,New York,1610
9/22/17,Off-White,Nike-Air-Max-90-Off-White,670,160,9/9/17,8.0,New York,510
9/22/17,Off-White,Nike-Air-Max-90-Off-White,810,160,9/9/17,9.0,California,650
9/22/17,Off-White,Nike-Air-Presto-Off-White,1105,160,9/9/17,8.0,California,945
9/22/17,Off-White,Nike-Air-Presto-Off-White,900,160,9/9/17,11.0,California,740
9/22/17,Off-White,Nike-Air-Presto-Off-White,1108,160,9/9/17,11.0,Illinois,948
9/22/17,Off-White,Nike-Blazer-Mid-Off-White,715,130,9/9/17,13.0,California,585
9/23/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1890,190,9/9/17,10.5,Pennsylvania,1700
9/23/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1886,190,9/9/17,11.0,Oklahoma,1696
9/23/17,Off-White,Nike-Air-Max-90-Off-White,800,160,9/9/17,11.0,Texas,640
9/23/17,Off-White,Nike-Air-Max-90-Off-White,780,160,9/9/17,12.0,Georgia,620
9/23/17,Off-White,Nike-Air-Presto-Off-White,1150,160,9/9/17,11.0,Indiana,990
9/23/17,Off-White,Nike-Air-Presto-Off-White,1149,160,9/9/17,12.0,Connecticut,989
9/24/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1786,190,9/9/17,11.0,California,1596
9/24/17,Off-White,Nike-Air-VaporMax-Off-White,945,250,9/9/17,10.0,Florida,695
9/24/17,Off-White,Nike-Blazer-Mid-Off-White,675,130,9/9/17,9.5,North Carolina,545
9/25/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1980,190,9/9/17,12.0,Kentucky,1790
9/25/17,Off-White,Nike-Air-Max-90-Off-White,790,160,9/9/17,10.0,California,630
9/25/17,Off-White,Nike-Air-Presto-Off-White,1250,160,9/9/17,9.0,New Jersey,1090
9/25/17,Off-White,Nike-Blazer-Mid-Off-White,699,130,9/9/17,10.5,California,569
9/26/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1801,190,9/9/17,10.5,Virginia,1611
9/26/17,Off-White,Nike-Air-Max-90-Off-White,777,160,9/9/17,10.0,California,617
9/26/17,Off-White,Nike-Air-Presto-Off-White,1099,160,9/9/17,11.0,Texas,939
9/26/17,Off-White,Nike-Air-VaporMax-Off-White,1150,250,9/9/17,7.0,Texas,900
9/26/17,Off-White,Nike-Air-VaporMax-Off-White,960,250,9/9/17,11.0,New York,710
9/26/17,Off-White,Nike-Air-VaporMax-Off-White,1000,250,9/9/17,10.0,Ohio,750
9/26/17,Off-White,Nike-Blazer-Mid-Off-White,740,130,9/9/17,12.0,North Carolina,610
9/27/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1750,190,9/9/17,11.0,Massachusetts,1560
9/27/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1700,190,9/9/17,10.5,New York,1510
9/27/17,Off-White,Nike-Air-Max-90-Off-White,870,160,9/9/17,8.0,Florida,710
9/27/17,Off-White,Nike-Air-Max-90-Off-White,785,160,9/9/17,11.0,California,625
9/27/17,Off-White,Nike-Air-Presto-Off-White,1160,160,9/9/17,11.0,New Jersey,1000
9/27/17,Off-White,Nike-Air-Presto-Off-White,1250,160,9/9/17,9.0,California,1090
9/27/17,Off-White,Nike-Air-VaporMax-Off-White,1098,250,9/9/17,8.5,Massachusetts,848
9/27/17,Off-White,Nike-Blazer-Mid-Off-White,699,130,9/9/17,9.0,Utah,569
9/27/17,Off-White,Nike-Blazer-Mid-Off-White,596,130,9/9/17,7.5,New Jersey,466
9/28/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1885,190,9/9/17,11.0,California,1695
9/28/17,Off-White,Nike-Air-Max-90-Off-White,700,160,9/9/17,9.5,New York,540
9/28/17,Off-White,Nike-Air-Presto-Off-White,1250,160,9/9/17,12.0,California,1090
9/28/17,Off-White,Nike-Air-Presto-Off-White,1200,160,9/9/17,9.0,Michigan,1040
9/29/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1914,190,9/9/17,10.0,California,1724
9/29/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1760,190,9/9/17,11.0,California,1570
9/29/17,Off-White,Nike-Air-Max-90-Off-White,750,160,9/9/17,10.5,New York,590
9/29/17,Off-White,Nike-Air-Max-90-Off-White,815,160,9/9/17,8.5,Wisconsin,655
9/29/17,Off-White,Nike-Air-Presto-Off-White,1230,160,9/9/17,7.0,New York,1070
9/29/17,Off-White,Nike-Air-Presto-Off-White,1399,160,9/9/17,10.0,Texas,1239
9/29/17,Off-White,Nike-Air-VaporMax-Off-White,965,250,9/9/17,7.5,New York,715
9/29/17,Off-White,Nike-Air-VaporMax-Off-White,976,250,9/9/17,8.5,New York,726
9/29/17,Off-White,Nike-Blazer-Mid-Off-White,835,130,9/9/17,11.5,Florida,705
9/30/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1879,190,9/9/17,11.0,Nevada,1689
9/30/17,Off-White,Nike-Air-Max-90-Off-White,800,160,9/9/17,7.5,California,640
9/30/17,Off-White,Nike-Air-VaporMax-Off-White,1050,250,9/9/17,10.5,Texas,800
9/30/17,Off-White,Nike-Blazer-Mid-Off-White,825,130,9/9/17,9.5,New Hampshire,695
10/1/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1975,190,9/9/17,7.0,New York,1785
10/1/17,Off-White,Nike-Air-Presto-Off-White,1175,160,9/9/17,13.0,Massachusetts,1015
10/1/17,Off-White,Nike-Blazer-Mid-Off-White,730,130,9/9/17,10.5,Colorado,600
10/2/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2000,190,9/9/17,12.0,Pennsylvania,1810
10/2/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2005,190,9/9/17,8.0,Pennsylvania,1815
10/2/17,Off-White,Nike-Air-Max-90-Off-White,820,160,9/9/17,13.0,California,660
10/2/17,Off-White,Nike-Air-Presto-Off-White,1300,160,9/9/17,10.0,California,1140
10/3/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1756,190,9/9/17,10.0,Illinois,1566
10/3/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1947,190,9/9/17,10.5,Texas,1757
10/3/17,Off-White,Nike-Air-Max-90-Off-White,850,160,9/9/17,9.5,Utah,690
10/3/17,Off-White,Nike-Air-Presto-Off-White,1060,160,9/9/17,6.0,California,900
10/3/17,Off-White,Nike-Air-Presto-Off-White,1250,160,9/9/17,10.0,Michigan,1090
10/3/17,Off-White,Nike-Air-VaporMax-Off-White,965,250,9/9/17,12.0,Ohio,715
10/3/17,Off-White,Nike-Blazer-Mid-Off-White,745,130,9/9/17,12.0,California,615
10/4/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1950,190,9/9/17,9.0,Texas,1760
10/4/17,Off-White,Nike-Air-Max-90-Off-White,835,160,9/9/17,13.0,Wisconsin,675
10/4/17,Off-White,Nike-Air-Presto-Off-White,1350,160,9/9/17,9.0,New York,1190
10/4/17,Off-White,Nike-Air-VaporMax-Off-White,920,250,9/9/17,7.5,Washington,670
10/4/17,Off-White,Nike-Blazer-Mid-Off-White,785,130,9/9/17,10.5,Wisconsin,655
10/5/17,Off-White,Nike-Air-Max-90-Off-White,850,160,9/9/17,11.0,Virginia,690
10/6/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1820,190,9/9/17,11.0,Delaware,1630
10/6/17,Off-White,Nike-Air-Presto-Off-White,1399,160,9/9/17,9.0,New York,1239
10/6/17,Off-White,Nike-Air-Presto-Off-White,1260,160,9/9/17,10.0,California,1100
10/6/17,Off-White,Nike-Air-VaporMax-Off-White,955,250,9/9/17,11.0,Delaware,705
10/7/17,Off-White,Nike-Air-Max-90-Off-White,785,160,9/9/17,13.0,California,625
10/7/17,Off-White,Nike-Air-Presto-Off-White,1200,160,9/9/17,11.0,Virginia,1040
10/8/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1950,190,9/9/17,10.0,Texas,1760
10/8/17,Off-White,Nike-Air-Max-90-Off-White,850,160,9/9/17,9.0,California,690
10/8/17,Off-White,Nike-Air-Presto-Off-White,1300,160,9/9/17,10.0,Florida,1140
10/8/17,Off-White,Nike-Air-VaporMax-Off-White,1195,250,9/9/17,9.0,California,945
10/9/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1870,190,9/9/17,9.0,Massachusetts,1680
10/9/17,Off-White,Nike-Air-VaporMax-Off-White,950,250,9/9/17,10.0,California,700
10/10/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1908,190,9/9/17,10.0,California,1718
10/10/17,Off-White,Nike-Air-Max-90-Off-White,850,160,9/9/17,9.0,Pennsylvania,690
10/10/17,Off-White,Nike-Air-Presto-Off-White,1399,160,9/9/17,8.0,Florida,1239
10/10/17,Off-White,Nike-Air-VaporMax-Off-White,1047,250,9/9/17,10.5,Texas,797
10/11/17,Off-White,Nike-Air-Presto-Off-White,1258,160,9/9/17,11.0,California,1098
10/11/17,Off-White,Nike-Air-VaporMax-Off-White,995,250,9/9/17,9.5,California,745
10/13/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1700,190,9/9/17,11.0,Massachusetts,1510
10/13/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1800,190,9/9/17,9.0,Pennsylvania,1610
10/13/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1999,190,9/9/17,7.0,Nevada,1809
10/13/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1799,190,9/9/17,10.0,Michigan,1609
10/13/17,Off-White,Nike-Air-Max-90-Off-White,820,160,9/9/17,9.0,California,660
10/13/17,Off-White,Nike-Air-Max-90-Off-White,849,160,9/9/17,8.5,Arizona,689
10/13/17,Off-White,Nike-Air-Presto-Off-White,1058,160,9/9/17,12.0,New York,898
10/13/17,Off-White,Nike-Air-VaporMax-Off-White,950,250,9/9/17,9.5,California,700
10/13/17,Off-White,Nike-Air-VaporMax-Off-White,1010,250,9/9/17,10.5,New York,760
10/13/17,Off-White,Nike-Blazer-Mid-Off-White,1020,130,9/9/17,10.5,Florida,890
10/16/17,Off-White,Nike-Air-Presto-Off-White,1310,160,9/9/17,10.0,New York,1150
10/17/17,Off-White,Nike-Air-Max-90-Off-White,790,160,9/9/17,11.0,Delaware,630
10/17/17,Off-White,Nike-Air-Max-90-Off-White,790,160,9/9/17,9.0,California,630
10/18/17,Off-White,Nike-Blazer-Mid-Off-White,875,130,9/9/17,9.5,California,745
10/21/17,Off-White,Nike-Air-Presto-Off-White,1850,160,9/9/17,9.0,California,1690
10/21/17,Off-White,Nike-Blazer-Mid-Off-White,850,130,9/9/17,11.0,California,720
10/22/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1899,190,9/9/17,10.0,California,1709
10/22/17,Off-White,Nike-Air-Force-1-Low-Off-White,1000,170,11/1/17,9.0,New York,830
10/23/17,Off-White,Nike-Air-Force-1-Low-Off-White,770,170,11/1/17,10.0,Texas,600
10/23/17,Off-White,Nike-Air-Force-1-Low-Off-White,750,170,11/1/17,8.5,California,580
10/23/17,Off-White,Nike-Air-Max-90-Off-White,805,160,9/9/17,13.0,Indiana,645
10/23/17,Off-White,Nike-Air-Presto-Off-White,1414,160,9/9/17,12.0,Kentucky,1254
10/24/17,Off-White,Nike-Air-Max-90-Off-White,900,160,9/9/17,12.0,California,740
10/24/17,Off-White,Nike-Air-VaporMax-Off-White,1100,250,9/9/17,8.0,Delaware,850
10/24/17,Off-White,Nike-Air-VaporMax-Off-White,975,250,9/9/17,12.0,California,725
10/24/17,Off-White,Nike-Blazer-Mid-Off-White,800,130,9/9/17,9.0,North Carolina,670
10/25/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1700,190,9/9/17,11.0,California,1510
10/25/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1990,190,9/9/17,9.5,California,1800
10/25/17,Off-White,Nike-Air-Force-1-Low-Off-White,650,170,11/1/17,10.0,New Jersey,480
10/25/17,Off-White,Nike-Air-Force-1-Low-Off-White,745,170,11/1/17,12.0,California,575
10/25/17,Off-White,Nike-Air-Max-90-Off-White,750,160,9/9/17,10.0,California,590
10/25/17,Off-White,Nike-Air-Presto-Off-White,1425,160,9/9/17,10.0,Illinois,1265
10/25/17,Off-White,Nike-Air-VaporMax-Off-White,931,250,9/9/17,11.0,Delaware,681
10/26/17,Off-White,Nike-Air-Force-1-Low-Off-White,799,170,11/1/17,12.0,New York,629
10/26/17,Off-White,Nike-Air-Force-1-Low-Off-White,625,170,11/1/17,13.0,New York,455
10/26/17,Off-White,Nike-Air-Presto-Off-White,1325,160,9/9/17,8.0,California,1165
10/27/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2100,190,9/9/17,11.0,Pennsylvania,1910
10/28/17,Off-White,Nike-Air-Force-1-Low-Off-White,775,170,11/1/17,9.0,New Jersey,605
10/28/17,Off-White,Nike-Air-VaporMax-Off-White,1130,250,9/9/17,10.5,Delaware,880
10/29/17,Off-White,Nike-Air-Max-90-Off-White,791,160,9/9/17,9.0,Washington,631
10/30/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1660,190,9/9/17,13.0,Nevada,1470
10/30/17,Off-White,Nike-Air-Force-1-Low-Off-White,867,170,11/1/17,14.0,Connecticut,697
10/30/17,Off-White,Nike-Air-Force-1-Low-Off-White,800,170,11/1/17,8.0,Illinois,630
10/30/17,Off-White,Nike-Air-Max-90-Off-White,800,160,9/9/17,11.0,Texas,640
10/30/17,Off-White,Nike-Air-Presto-Off-White,1300,160,9/9/17,9.0,New Jersey,1140
10/30/17,Off-White,Nike-Air-VaporMax-Off-White,955,250,9/9/17,12.0,Texas,705
10/31/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1650,190,9/9/17,13.0,Florida,1460
10/31/17,Off-White,Nike-Air-Force-1-Low-Off-White,750,170,11/1/17,12.0,California,580
10/31/17,Off-White,Nike-Air-Presto-Off-White,1400,160,9/9/17,9.0,California,1240
10/31/17,Off-White,Nike-Air-VaporMax-Off-White,945,250,9/9/17,9.5,Illinois,695
